time,gFx,gFy,gFz,TgF
13:45:34:0780,0.6337,0.0838,0.8543,1.067
13:45:34:0780,0.6376,0.0740,0.8443,1.061
13:45:34:0780,0.6403,0.0652,0.8355,1.055
13:45:34:0810,0.6410,0.0579,0.8304,1.051
13:45:34:0830,0.6418,0.0535,0.8289,1.050
13:45:34:0850,0.6427,0.0508,0.8313,1.052
13:45:34:0890,0.6427,0.0498,0.8372,1.057
13:45:34:0900,0.6430,0.0496,0.8440,1.062
13:45:34:0930,0.6430,0.0508,0.8548,1.071
13:45:34:0950,0.6420,0.0511,0.8694,1.082
13:45:34:0980,0.6401,0.0498,0.8880,1.096
13:45:34:1000,0.6393,0.0503,0.9107,1.114
13:45:34:1030,0.6388,0.0515,0.9337,1.133
13:45:34:1080,0.6347,0.0525,0.9557,1.148
13:45:34:1080,0.6271,0.0540,0.9730,1.159
13:45:34:1100,0.6161,0.0572,0.9835,1.162
13:45:34:1120,0.6022,0.0628,0.9894,1.160
13:45:34:1150,0.5866,0.0713,0.9938,1.156
13:45:34:1170,0.5702,0.0787,0.9933,1.148
13:45:34:1190,0.5533,0.0833,0.9899,1.137
13:45:34:1240,0.5370,0.0872,0.9914,1.131
13:45:34:1240,0.5243,0.0892,0.9965,1.130
13:45:34:1270,0.5135,0.0904,1.0009,1.129
13:45:34:1290,0.5025,0.0916,1.0053,1.128
13:45:34:1320,0.4925,0.0926,1.0092,1.127
13:45:34:1340,0.4837,0.0921,1.0104,1.124
13:45:34:1360,0.4742,0.0914,1.0080,1.118
13:45:34:1400,0.4634,0.0921,1.0026,1.108
13:45:34:1419,0.4512,0.0943,0.9960,1.097
13:45:34:1440,0.4370,0.0967,0.9889,1.085
13:45:34:1460,0.4224,0.0963,0.9816,1.073
13:45:34:1490,0.4082,0.0953,0.9721,1.059
13:45:34:1510,0.3945,0.0967,0.9603,1.043
13:45:34:1530,0.3818,0.0994,0.9501,1.029
13:45:34:1570,0.3730,0.1014,0.9420,1.018
13:45:34:1590,0.3669,0.1046,0.9357,1.010
13:45:34:1610,0.3635,0.1092,0.9310,1.005
13:45:34:1630,0.3645,0.1156,0.9269,1.003
13:45:34:1660,0.3679,0.1236,0.9234,1.002
13:45:34:1680,0.3721,0.1322,0.9217,1.003
13:45:34:1700,0.3760,0.1441,0.9239,1.008
13:45:34:1729,0.3848,0.1625,0.9315,1.021
13:45:34:1750,0.3975,0.1783,0.9396,1.036
13:45:34:1780,0.4111,0.1881,0.9466,1.049
13:45:34:1800,0.4273,0.1947,0.9547,1.064
13:45:34:1830,0.4461,0.1979,0.9667,1.083
13:45:34:1850,0.4644,0.2008,0.9786,1.102
13:45:34:1890,0.4810,0.2033,0.9870,1.117
13:45:34:1900,0.4935,0.2020,0.9950,1.129
13:45:34:1920,0.4991,0.1971,0.9955,1.131
13:45:34:1950,0.5013,0.1888,0.9884,1.124
13:45:34:1970,0.5018,0.1786,0.9796,1.115
13:45:34:1990,0.5001,0.1669,0.9701,1.104
13:45:34:2020,0.4996,0.1551,0.9613,1.094
13:45:34:2070,0.4998,0.1458,0.9559,1.089
13:45:34:2080,0.5003,0.1388,0.9542,1.086
