leftAnkle,rightAnkle,Time
-1,-1,0.033333333
-1,-1,0.066666667
355,356,0.1
355,357,0.133333333
355,359,0.166666667
355,360,0.2
355,360,0.233333333
350,365,0.266666667
347,365,0.3
345,366,0.333333333
345,367,0.366666667
345,367,0.4
345,367,0.433333333
345,368,0.466666667
346,369,0.5
346,369,0.533333333
346,370,0.566666667
345,372,0.6
348,370,0.633333333
347,371,0.666666667
345,372,0.7
345,372,0.733333333
344,372,0.766666667
343,372,0.8
343,373,0.833333333
342,374,0.866666667
342,374,0.9
342,374,0.933333333
342,374,0.966666667
341,375,1
341,375,1.033333333
341,376,1.066666667
341,378,1.1
342,378,1.133333333
342,378,1.166666667
342,380,1.2
343,380,1.233333333
345,380,1.266666667
346,380,1.3
348,380,1.333333333
348,381,1.366666667
350,382,1.4
352,382,1.433333333
352,383,1.466666667
352,385,1.5
352,384,1.533333333
352,384,1.566666667
352,384,1.6
352,384,1.633333333
352,384,1.666666667
352,384,1.7
352,383,1.733333333
352,382,1.766666667
352,381,1.8
352,380,1.833333333
352,379,1.866666667
352,379,1.9
352,378,1.933333333
352,378,1.966666667
352,378,2
352,377,2.033333333
352,377,2.066666667
352,376,2.1
352,375,2.133333333
352,374,2.166666667
352,373,2.2
352,372,2.233333333
353,372,2.266666667
353,373,2.3
352,373,2.333333333
352,373,2.366666667
352,373,2.4
352,373,2.433333333
352,373,2.466666667
352,373,2.5
352,373,2.533333333
352,373,2.566666667
353,374,2.6
353,374,2.633333333
353,375,2.666666667
353,377,2.7
353,378,2.733333333
353,378,2.766666667
353,379,2.8
353,379,2.833333333
353,380,2.866666667
353,381,2.9
353,381,2.933333333
353,381,2.966666667
353,381,3
353,381,3.033333333
353,381,3.066666667
353,381,3.1
352,381,3.133333333
352,381,3.166666667
352,381,3.2
352,381,3.233333333
352,381,3.266666667
352,381,3.3
352,381,3.333333333
352,381,3.366666667
352,381,3.4
352,382,3.433333333
352,382,3.466666667
351,382,3.5
351,383,3.533333333
351,384,3.566666667
351,385,3.6
351,386,3.633333333
351,387,3.666666667
351,388,3.7
351,388,3.733333333
351,391,3.766666667
350,392,3.8
350,392,3.833333333
349,393,3.866666667
349,394,3.9
349,394,3.933333333
349,394,3.966666667
349,394,4
349,394,4.033333333
349,394,4.066666667
349,394,4.1
349,394,4.133333333
349,394,4.166666667
349,394,4.2
349,394,4.233333333
349,393,4.266666667
349,393,4.3
349,393,4.333333333
349,393,4.366666667
348,392,4.4
348,392,4.433333333
349,392,4.466666667
349,392,4.5
349,391,4.533333333
349,392,4.566666667
349,392,4.6
348,393,4.633333333
348,394,4.666666667
347,396,4.7
347,398,4.733333333
345,398,4.766666667
343,398,4.8
340,398,4.833333333
338,397,4.866666667
336,396,4.9
331,394,4.933333333
331,394,4.966666667
330,393,5
330,393,5.033333333
330,394,5.066666667
330,395,5.1
331,396,5.133333333
332,398,5.166666667
334,401,5.2
338,403,5.233333333
346,404,5.266666667
355,406,5.3
374,406,5.333333333
387,407,5.366666667
393,408,5.4
405,409,5.433333333
