time,gFx,gFy,gFz,TgF
13:42:42:1970,-0.0794,0.3943,0.8765,0.964
13:42:42:1980,-0.0787,0.3926,0.8624,0.951
13:42:42:1980,-0.0799,0.3872,0.8506,0.938
13:42:42:1990,-0.0814,0.3826,0.8414,0.928
13:42:42:2020,-0.0826,0.3791,0.8343,0.920
13:42:42:2039,-0.0789,0.3750,0.8289,0.913
13:42:42:2080,-0.0699,0.3721,0.8260,0.909
13:42:42:2100,-0.0642,0.3699,0.8277,0.909
13:42:42:2120,-0.0608,0.3652,0.8304,0.909
13:42:42:2140,-0.0581,0.3606,0.8326,0.909
13:42:42:2160,-0.0562,0.3564,0.8360,0.911
13:42:42:2190,-0.0547,0.3537,0.8411,0.914
13:42:42:2220,-0.0562,0.3503,0.8475,0.919
13:42:42:2270,-0.0569,0.3462,0.8545,0.924
13:42:42:2300,-0.0567,0.3415,0.8638,0.931
13:42:42:2300,-0.0567,0.3396,0.8790,0.944
13:42:42:2320,-0.0559,0.3425,0.8993,0.964
13:42:42:2340,-0.0577,0.3440,0.9195,0.983
13:42:42:2360,-0.0613,0.3425,0.9393,1.002
13:42:42:2380,-0.0650,0.3418,0.9567,1.018
13:42:42:2410,-0.0682,0.3405,0.9691,1.029
13:42:42:2440,-0.0723,0.3391,0.9772,1.037
13:42:42:2460,-0.0748,0.3391,0.9796,1.039
13:42:42:2480,-0.0738,0.3398,0.9779,1.038
13:42:42:2500,-0.0728,0.3418,0.9735,1.034
13:42:42:2530,-0.0713,0.3449,0.9662,1.028
13:42:42:2550,-0.0691,0.3498,0.9574,1.022
13:42:42:2580,-0.0684,0.3542,0.9449,1.011
13:42:42:2600,-0.0669,0.3589,0.9315,1.000
13:42:42:2630,-0.0669,0.3616,0.9183,0.989
13:42:42:2650,-0.0679,0.3606,0.9068,0.978
13:42:42:2670,-0.0672,0.3608,0.8995,0.971
13:42:42:2700,-0.0662,0.3628,0.8949,0.968
13:42:42:2760,-0.0657,0.3638,0.8924,0.966
13:42:42:2760,-0.0652,0.3652,0.8900,0.964
13:42:42:2770,-0.0660,0.3677,0.8900,0.965
13:42:42:2800,-0.0682,0.3684,0.8929,0.968
13:42:42:2829,-0.0696,0.3672,0.8985,0.973
13:42:42:2839,-0.0721,0.3667,0.9037,0.978
13:42:42:2870,-0.0767,0.3682,0.9061,0.981
13:42:42:2890,-0.0809,0.3682,0.9100,0.985
13:42:42:2920,-0.0862,0.3686,0.9129,0.988
13:42:42:2940,-0.0904,0.3701,0.9117,0.988
13:42:42:2970,-0.0938,0.3713,0.9100,0.987
13:42:42:2990,-0.0970,0.3726,0.9093,0.987
13:42:42:3020,-0.0987,0.3716,0.9080,0.986
13:42:42:3040,-0.1014,0.3684,0.9068,0.984
13:42:42:3070,-0.1014,0.3708,0.9117,0.989
13:42:42:3090,-0.0987,0.3784,0.9166,0.997
13:42:42:3110,-0.0987,0.3823,0.9161,0.998
13:42:42:3140,-0.1002,0.3806,0.9190,1.000
13:42:42:3160,-0.1024,0.3740,0.9271,1.005
13:42:42:3180,-0.1038,0.3674,0.9371,1.012
13:42:42:3210,-0.1043,0.3645,0.9449,1.018
13:42:42:3250,-0.1038,0.3650,0.9488,1.022
13:42:42:3270,-0.1046,0.3682,0.9528,1.027
13:42:42:3290,-0.1046,0.3713,0.9540,1.029
13:42:42:3310,-0.1048,0.3730,0.9528,1.029
13:42:42:3330,-0.1055,0.3730,0.9550,1.031
13:42:42:3350,-0.1087,0.3711,0.9528,1.028
13:42:42:3380,-0.1163,0.3694,0.9447,1.021
13:42:42:3410,-0.1219,0.3686,0.9408,1.018
13:42:42:3439,-0.1243,0.3674,0.9408,1.018
13:42:42:3449,-0.1251,0.3686,0.9415,1.019
13:42:42:3479,-0.1285,0.3704,0.9381,1.017
13:42:42:3500,-0.1336,0.3716,0.9325,1.013
13:42:42:3520,-0.1366,0.3718,0.9330,1.014
13:42:42:3550,-0.1407,0.3706,0.9379,1.018
13:42:42:3580,-0.1471,0.3704,0.9393,1.020
13:42:42:3600,-0.1512,0.3723,0.9349,1.018
13:42:42:3620,-0.1554,0.3728,0.9200,1.005
13:42:42:3650,-0.1581,0.3745,0.9102,0.997
13:42:42:3670,-0.1563,0.3806,0.9149,1.003
13:42:42:3690,-0.1544,0.3857,0.9178,1.007
13:42:42:3720,-0.1559,0.3877,0.9168,1.008
