time,gFx,gFy,gFz,TgF
13:43:13:2810,0.2883,0.6198,0.6777,0.963
13:43:13:2819,0.2885,0.6195,0.6921,0.973
13:43:13:2819,0.2895,0.6183,0.7041,0.981
13:43:13:2819,0.2936,0.6183,0.7148,0.990
13:43:13:2839,0.3000,0.6212,0.7290,1.004
13:43:13:2859,0.3029,0.6239,0.7390,1.013
13:43:13:2890,0.3010,0.6237,0.7466,1.018
13:43:13:2910,0.2980,0.6230,0.7505,1.020
13:43:13:2930,0.2958,0.6225,0.7495,1.018
13:43:13:2960,0.2941,0.6212,0.7458,1.014
13:43:13:2980,0.2936,0.6208,0.7414,1.011
13:43:13:3000,0.2941,0.6227,0.7441,1.014
13:43:13:3030,0.2939,0.6242,0.7478,1.017
13:43:13:3140,0.2934,0.6244,0.7495,1.019
13:43:13:3140,0.2924,0.6244,0.7505,1.019
13:43:13:3150,0.2929,0.6232,0.7456,1.015
13:43:13:3150,0.2907,0.6195,0.7397,1.008
13:43:13:3160,0.2851,0.6151,0.7270,0.994
13:43:13:3170,0.2829,0.6127,0.7121,0.981
13:43:13:3200,0.2809,0.6132,0.6999,0.972
13:43:13:3230,0.2739,0.6112,0.6877,0.960
13:43:13:3250,0.2636,0.6059,0.6887,0.954
13:43:13:3270,0.2560,0.6007,0.7002,0.957
13:43:13:3300,0.2497,0.5956,0.7094,0.959
13:43:13:3320,0.2399,0.5895,0.7168,0.959
13:43:13:3340,0.2309,0.5836,0.7182,0.954
13:43:13:3370,0.2250,0.5809,0.7197,0.952
13:43:13:3410,0.2179,0.5795,0.7392,0.964
13:43:13:3430,0.2145,0.5773,0.7585,0.977
13:43:13:3459,0.2155,0.5734,0.7544,0.972
13:43:13:3469,0.2108,0.5677,0.7475,0.962
13:43:13:3489,0.2015,0.5616,0.7468,0.956
13:43:13:3520,0.1923,0.5585,0.7431,0.949
13:43:13:3540,0.1827,0.5582,0.7412,0.946
13:43:13:3600,0.1744,0.5575,0.7390,0.942
13:43:13:3610,0.1664,0.5548,0.7427,0.942
13:43:13:3610,0.1595,0.5504,0.7444,0.939
13:43:13:3640,0.1544,0.5445,0.7409,0.932
13:43:13:3660,0.1510,0.5375,0.7417,0.928
13:43:13:3680,0.1488,0.5309,0.7409,0.924
13:43:13:3710,0.1468,0.5274,0.7385,0.919
13:43:13:3730,0.1478,0.5282,0.7405,0.921
13:43:13:3760,0.1517,0.5328,0.7463,0.929
13:43:13:3780,0.1549,0.5387,0.7524,0.938
13:43:13:3800,0.1593,0.5438,0.7554,0.944
13:43:13:3830,0.1651,0.5494,0.7539,0.947
13:43:13:3850,0.1713,0.5548,0.7517,0.950
13:43:13:3900,0.1798,0.5602,0.7517,0.955
13:43:13:3900,0.1888,0.5665,0.7527,0.961
13:43:13:3930,0.1979,0.5712,0.7534,0.966
13:43:13:3950,0.2081,0.5741,0.7529,0.969
13:43:13:3980,0.2182,0.5763,0.7512,0.972
13:43:13:4000,0.2252,0.5782,0.7493,0.973
13:43:13:4030,0.2272,0.5829,0.7485,0.976
13:43:13:4060,0.2248,0.5856,0.7493,0.977
13:43:13:4069,0.2204,0.5846,0.7510,0.977
13:43:13:4100,0.2174,0.5822,0.7517,0.975
13:43:13:4120,0.2174,0.5787,0.7517,0.973
13:43:13:4140,0.2196,0.5780,0.7529,0.974
13:43:13:4170,0.2213,0.5785,0.7561,0.977
13:43:13:4190,0.2206,0.5773,0.7588,0.979
13:43:13:4230,0.2189,0.5768,0.7617,0.980
13:43:13:4240,0.2182,0.5765,0.7673,0.984
13:43:13:4270,0.2162,0.5780,0.7725,0.989
13:43:13:4290,0.2147,0.5782,0.7778,0.993
