leftAnkle,rightAnkle,Time
-1,-1,0.033333333
-1,-1,0.066666667
-1,-1,0.1
-1,-1,0.133333333
-1,-1,0.166666667
-1,-1,0.2
-1,-1,0.233333333
-1,-1,0.266666667
-1,-1,0.3
-1,-1,0.333333333
-1,-1,0.366666667
-1,-1,0.4
-1,-1,0.433333333
-1,-1,0.466666667
-1,-1,0.5
-1,-1,0.533333333
-1,-1,0.566666667
442,456,0.6
440,460,0.633333333
440,460,0.666666667
439,460,0.7
439,461,0.733333333
439,461,0.766666667
438,461,0.8
438,461,0.833333333
438,461,0.866666667
438,461,0.9
438,461,0.933333333
438,461,0.966666667
438,461,1
438,461,1.033333333
438,462,1.066666667
438,462,1.1
438,462,1.133333333
437,462,1.166666667
437,462,1.2
436,462,1.233333333
436,462,1.266666667
436,462,1.3
435,461,1.333333333
435,461,1.366666667
435,461,1.4
435,461,1.433333333
435,461,1.466666667
435,461,1.5
435,461,1.533333333
435,461,1.566666667
435,461,1.6
435,461,1.633333333
435,461,1.666666667
435,461,1.7
435,461,1.733333333
435,461,1.766666667
435,461,1.8
435,461,1.833333333
435,461,1.866666667
435,462,1.9
435,462,1.933333333
435,462,1.966666667
435,463,2
435,463,2.033333333
435,463,2.066666667
436,463,2.1
436,463,2.133333333
436,464,2.166666667
436,464,2.2
436,465,2.233333333
436,465,2.266666667
436,466,2.3
436,466,2.333333333
436,466,2.366666667
436,466,2.4
436,466,2.433333333
436,466,2.466666667
436,466,2.5
436,466,2.533333333
436,466,2.566666667
436,466,2.6
436,466,2.633333333
436,466,2.666666667
437,466,2.7
437,466,2.733333333
437,466,2.766666667
437,466,2.8
437,466,2.833333333
437,466,2.866666667
437,466,2.9
437,466,2.933333333
437,465,2.966666667
437,465,3
437,465,3.033333333
437,464,3.066666667
437,464,3.1
437,464,3.133333333
437,464,3.166666667
437,464,3.2
437,464,3.233333333
436,463,3.266666667
436,463,3.3
436,462,3.333333333
436,462,3.366666667
436,461,3.4
436,461,3.433333333
436,461,3.466666667
436,461,3.5
436,461,3.533333333
436,461,3.566666667
436,461,3.6
436,461,3.633333333
436,461,3.666666667
436,461,3.7
436,461,3.733333333
435,460,3.766666667
435,460,3.8
434,460,3.833333333
434,460,3.866666667
434,460,3.9
433,459,3.933333333
433,459,3.966666667
433,459,4
433,458,4.033333333
432,458,4.066666667
432,457,4.1
432,457,4.133333333
431,457,4.166666667
431,456,4.2
431,455,4.233333333
430,454,4.266666667
430,453,4.3
430,453,4.333333333
429,452,4.366666667
429,451,4.4
429,451,4.433333333
429,450,4.466666667
429,449,4.5
429,449,4.533333333
428,448,4.566666667
428,448,4.6
427,448,4.633333333
427,448,4.666666667
425,448,4.7
424,447,4.733333333
424,447,4.766666667
423,447,4.8
423,447,4.833333333
423,447,4.866666667
421,447,4.9
421,447,4.933333333
421,446,4.966666667
421,445,5
421,444,5.033333333
421,444,5.066666667
420,444,5.1
420,443,5.133333333
420,443,5.166666667
420,442,5.2
420,442,5.233333333
420,441,5.266666667
420,441,5.3
420,441,5.333333333
