time,gFx,gFy,gFz,TgF
13:44:50:0920,-0.1444,0.4493,0.7617,0.896
13:44:50:0930,-0.1444,0.4449,0.7615,0.894
13:44:50:0930,-0.1410,0.4422,0.7605,0.891
13:44:50:0930,-0.1327,0.4380,0.7602,0.887
13:44:50:0930,-0.1248,0.4336,0.7566,0.881
13:44:50:0960,-0.1221,0.4273,0.7519,0.873
13:44:50:0990,-0.1180,0.4195,0.7595,0.876
13:44:50:1000,-0.1114,0.4146,0.7747,0.886
13:44:50:1030,-0.1102,0.4080,0.7969,0.902
13:44:50:1050,-0.1136,0.4021,0.8257,0.925
13:44:50:1080,-0.1148,0.3977,0.8462,0.942
13:44:50:1100,-0.1151,0.3894,0.8570,0.948
13:44:50:1120,-0.1160,0.3892,0.8658,0.956
13:44:50:1180,-0.1234,0.3972,0.8770,0.971
13:44:50:1180,-0.1358,0.4043,0.8922,0.989
13:44:50:1200,-0.1454,0.4114,0.9041,1.004
13:44:50:1220,-0.1539,0.4155,0.9120,1.014
13:44:50:1250,-0.1607,0.4165,0.9171,1.020
13:44:50:1270,-0.1666,0.4170,0.9168,1.021
13:44:50:1300,-0.1722,0.4168,0.9100,1.016
13:44:50:1320,-0.1735,0.4168,0.9005,1.007
13:44:50:1350,-0.1717,0.4182,0.8922,1.000
13:44:50:1370,-0.1698,0.4207,0.8848,0.994
13:44:50:1390,-0.1686,0.4243,0.8780,0.990
13:44:50:1419,-0.1671,0.4287,0.8697,0.984
13:44:50:1440,-0.1649,0.4326,0.8597,0.976
13:44:50:1460,-0.1627,0.4361,0.8506,0.970
13:44:50:1500,-0.1622,0.4414,0.8418,0.964
13:44:50:1520,-0.1666,0.4444,0.8323,0.958
13:44:50:1550,-0.1732,0.4449,0.8235,0.952
13:44:50:1560,-0.1774,0.4478,0.8147,0.946
13:44:50:1590,-0.1818,0.4507,0.8062,0.941
13:44:50:1610,-0.1898,0.4524,0.8013,0.940
