time,gFx,gFy,gFz,TgF
13:38:53:4610,0.0386,0.4353,0.7148,0.838
13:38:53:4620,0.0210,0.4283,0.7216,0.839
13:38:53:4620,0.0093,0.4270,0.7192,0.836
13:38:53:4620,0.0029,0.4275,0.7104,0.829
13:38:53:4620,0.0022,0.4302,0.7024,0.824
13:38:53:4640,0.0012,0.4317,0.7036,0.825
13:38:53:4680,-0.0054,0.4270,0.7131,0.831
13:38:53:4690,-0.0132,0.4209,0.7317,0.844
13:38:53:4720,-0.0176,0.4173,0.7590,0.866
13:38:53:4740,-0.0183,0.4146,0.7852,0.888
13:38:53:4760,-0.0166,0.4124,0.8052,0.905
13:38:53:4790,-0.0134,0.4102,0.8191,0.916
13:38:53:4810,-0.0103,0.4075,0.8301,0.925
13:38:53:4920,-0.0071,0.4068,0.8401,0.933
13:38:53:4920,-0.0037,0.4048,0.8499,0.941
13:38:53:4930,0.0010,0.4031,0.8592,0.949
13:38:53:4930,0.0042,0.4028,0.8651,0.954
13:38:53:4930,0.0056,0.4024,0.8719,0.960
13:38:53:4960,0.0068,0.4048,0.8836,0.972
13:38:53:4980,0.0081,0.4026,0.8887,0.976
13:38:53:5010,0.0093,0.3958,0.8897,0.974
13:38:53:5030,0.0088,0.3909,0.8958,0.977
13:38:53:5050,0.0098,0.3879,0.9015,0.981
13:38:53:5080,0.0134,0.3855,0.9037,0.983
13:38:53:5100,0.0181,0.3826,0.9012,0.979
13:38:53:5130,0.0230,0.3809,0.8980,0.976
13:38:53:5150,0.0247,0.3794,0.8963,0.974
13:38:53:5190,0.0257,0.3767,0.8961,0.972
13:38:53:5200,0.0291,0.3738,0.8966,0.972
13:38:53:5230,0.0330,0.3723,0.8958,0.971
13:38:53:5250,0.0349,0.3743,0.8949,0.971
13:38:53:5270,0.0369,0.3782,0.8909,0.969
13:38:53:5300,0.0371,0.3818,0.8846,0.964
13:38:53:5320,0.0374,0.3833,0.8787,0.959
13:38:53:5350,0.0393,0.3838,0.8734,0.955
13:38:53:5370,0.0413,0.3855,0.8697,0.952
13:38:53:5390,0.0410,0.3865,0.8682,0.951
13:38:53:5420,0.0381,0.3855,0.8685,0.951
13:38:53:5440,0.0349,0.3850,0.8697,0.952
13:38:53:5470,0.0310,0.3835,0.8721,0.953
13:38:53:5490,0.0281,0.3818,0.8775,0.957
13:38:53:5520,0.0261,0.3823,0.8856,0.965
13:38:53:5540,0.0244,0.3809,0.8927,0.971
13:38:53:5560,0.0244,0.3784,0.8978,0.975
13:38:53:5590,0.0257,0.3782,0.9015,0.978
