time,gFx,gFy,gFz,TgF
13:44:09:5500,0.4920,0.1725,0.8423,0.991
13:44:09:5500,0.4954,0.1735,0.8316,0.983
13:44:09:5510,0.4989,0.1742,0.8203,0.976
13:44:09:5540,0.5006,0.1737,0.8113,0.969
13:44:09:5560,0.5001,0.1739,0.8032,0.962
13:44:09:5580,0.4969,0.1749,0.7969,0.955
13:44:09:5610,0.4913,0.1747,0.7923,0.948
13:44:09:5639,0.4849,0.1739,0.7893,0.943
13:44:09:5659,0.4786,0.1705,0.7896,0.939
13:44:09:5679,0.4720,0.1676,0.7918,0.937
13:44:09:5709,0.4664,0.1649,0.7959,0.937
13:44:09:5729,0.4607,0.1605,0.8001,0.937
13:44:09:5760,0.4561,0.1537,0.8064,0.939
13:44:09:5800,0.4534,0.1483,0.8199,0.949
13:44:09:5800,0.4471,0.1463,0.8370,0.960
13:44:09:5830,0.4348,0.1456,0.8572,0.972
13:44:09:5850,0.4217,0.1432,0.8822,0.988
13:44:09:5880,0.4146,0.1397,0.9037,1.004
13:44:09:5910,0.4133,0.1349,0.9129,1.011
13:44:09:5930,0.4097,0.1297,0.9232,1.018
13:44:09:5950,0.4009,0.1265,0.9422,1.032
13:44:09:5980,0.3901,0.1243,0.9584,1.042
13:44:09:6000,0.3801,0.1224,0.9657,1.045
13:44:09:6020,0.3730,0.1231,0.9786,1.055
13:44:09:6050,0.3726,0.1239,1.0067,1.081
13:44:09:6070,0.3635,0.1226,0.9960,1.067
13:44:09:6110,0.3415,0.1251,0.9466,1.014
13:44:09:6130,0.3264,0.1285,0.9176,0.982
13:44:09:6140,0.3188,0.1280,0.9166,0.979
13:44:09:6170,0.3134,0.1234,0.9298,0.989
13:44:09:6190,0.3095,0.1187,0.9469,1.003
13:44:09:6220,0.3056,0.1146,0.9662,1.020
13:44:09:6240,0.3010,0.1090,0.9857,1.036
13:44:09:6280,0.2951,0.1024,1.0033,1.051
13:44:09:6290,0.2900,0.0953,1.0172,1.062
13:44:09:6310,0.2853,0.0879,1.0265,1.069
13:44:09:6340,0.2827,0.0809,1.0297,1.071
13:44:09:6360,0.2817,0.0757,1.0295,1.070
13:44:09:6390,0.2814,0.0718,1.0300,1.070
13:44:09:6410,0.2822,0.0674,1.0319,1.072
13:44:09:6440,0.2846,0.0652,1.0341,1.075
13:44:09:6460,0.2890,0.0660,1.0346,1.076
13:44:09:6490,0.2944,0.0677,1.0343,1.078
13:44:09:6510,0.3012,0.0704,1.0361,1.081
13:44:09:6530,0.3076,0.0738,1.0375,1.085
13:44:09:6560,0.3151,0.0774,1.0370,1.087
13:44:09:6580,0.3252,0.0828,1.0331,1.086
13:44:09:6610,0.3352,0.0901,1.0285,1.085
13:44:09:6630,0.3435,0.0963,1.0231,1.084
13:44:09:6660,0.3501,0.1019,1.0170,1.080
13:44:09:6680,0.3557,0.1075,1.0129,1.079
13:44:09:6710,0.3589,0.1129,1.0085,1.076
13:44:09:6730,0.3608,0.1170,1.0043,1.074
13:44:09:6750,0.3618,0.1195,1.0009,1.071
13:44:09:6790,0.3623,0.1209,0.9972,1.068
13:44:09:6800,0.3618,0.1219,0.9918,1.063
13:44:09:6830,0.3601,0.1231,0.9833,1.054
13:44:09:6850,0.3574,0.1256,0.9760,1.047
13:44:09:6870,0.3533,0.1280,0.9708,1.041
13:44:09:6899,0.3474,0.1280,0.9679,1.036
13:44:09:6929,0.3408,0.1280,0.9674,1.034
13:44:09:6949,0.3359,0.1275,0.9667,1.031
13:44:09:6969,0.3308,0.1261,0.9674,1.030
13:44:09:7000,0.3237,0.1256,0.9684,1.029
13:44:09:7020,0.3161,0.1251,0.9689,1.027
13:44:09:7040,0.3095,0.1248,0.9677,1.024
13:44:09:7070,0.3034,0.1246,0.9635,1.018
13:44:09:7090,0.2971,0.1231,0.9593,1.012
13:44:09:7130,0.2897,0.1209,0.9535,1.004
13:44:09:7140,0.2836,0.1180,0.9466,0.995
13:44:09:7160,0.2778,0.1136,0.9410,0.988
13:44:09:7190,0.2709,0.1097,0.9347,0.979
13:44:09:7210,0.2673,0.1080,0.9261,0.970
13:44:09:7240,0.2638,0.1065,0.9181,0.961
13:44:09:7260,0.2609,0.1058,0.9110,0.953
13:44:09:7290,0.2599,0.1065,0.9058,0.948
13:44:09:7310,0.2575,0.1077,0.9027,0.945
13:44:09:7340,0.2558,0.1087,0.8995,0.941
13:44:09:7360,0.2585,0.1102,0.8953,0.938
13:44:09:7380,0.2616,0.1131,0.8922,0.937
13:44:09:7420,0.2634,0.1153,0.8912,0.936
13:44:09:7440,0.2663,0.1180,0.8902,0.937
13:44:09:7470,0.2704,0.1212,0.8868,0.935
13:44:09:7480,0.2731,0.1256,0.8853,0.935
13:44:09:7500,0.2756,0.1305,0.8848,0.936
13:44:09:7530,0.2765,0.1336,0.8834,0.935
13:44:09:7550,0.2761,0.1368,0.8839,0.936
13:44:09:7570,0.2758,0.1397,0.8824,0.935
13:44:09:7620,0.2765,0.1422,0.8812,0.934
13:44:09:7630,0.2795,0.1456,0.8812,0.936
13:44:09:7650,0.2829,0.1505,0.8812,0.938
13:44:09:7670,0.2861,0.1546,0.8829,0.941
13:44:09:7700,0.2892,0.1576,0.8848,0.944
13:44:09:7720,0.2927,0.1617,0.8880,0.949
13:44:09:7740,0.2971,0.1637,0.8951,0.957
13:44:09:7780,0.3017,0.1654,0.9029,0.966
13:44:09:7800,0.3041,0.1666,0.9090,0.973
13:44:09:7820,0.3041,0.1647,0.9137,0.977
13:44:09:7840,0.3039,0.1610,0.9171,0.979
13:44:09:7870,0.3027,0.1583,0.9200,0.981
13:44:09:7890,0.3007,0.1571,0.9227,0.983
13:44:09:7920,0.2980,0.1549,0.9254,0.984
13:44:09:7940,0.2944,0.1524,0.9278,0.985
13:44:09:7960,0.2905,0.1495,0.9286,0.984
13:44:09:7990,0.2878,0.1473,0.9293,0.984
13:44:09:8020,0.2856,0.1468,0.9330,0.987
13:44:09:8040,0.2824,0.1476,0.9381,0.991
13:44:09:8060,0.2785,0.1495,0.9420,0.994
13:44:09:8090,0.2743,0.1524,0.9452,0.996
13:44:09:8120,0.2712,0.1542,0.9503,1.000
13:44:09:8139,0.2685,0.1566,0.9528,1.002
13:44:09:8159,0.2653,0.1578,0.9532,1.002
13:44:09:8179,0.2631,0.1588,0.9557,1.004
13:44:09:8210,0.2616,0.1615,0.9567,1.005
13:44:09:8240,0.2599,0.1632,0.9562,1.004
13:44:09:8260,0.2572,0.1639,0.9550,1.002
13:44:09:8290,0.2541,0.1651,0.9528,1.000
13:44:09:8310,0.2506,0.1664,0.9535,1.000
13:44:09:8330,0.2477,0.1654,0.9564,1.002
13:44:09:8360,0.2455,0.1634,0.9572,1.002
13:44:09:8380,0.2431,0.1615,0.9559,0.999
13:44:09:8400,0.2389,0.1595,0.9567,0.999
13:44:09:8430,0.2348,0.1576,0.9679,1.008
13:44:09:8460,0.2328,0.1554,0.9786,1.018
13:44:09:8470,0.2311,0.1529,0.9811,1.019
13:44:09:8540,0.2287,0.1500,0.9804,1.018
13:44:09:8550,0.2262,0.1478,0.9735,1.010
13:44:09:8550,0.2235,0.1463,0.9615,0.998
13:44:09:8570,0.2208,0.1456,0.9491,0.985
13:44:09:8600,0.2194,0.1454,0.9379,0.974
13:44:09:8630,0.2184,0.1473,0.9291,0.966
13:44:09:8650,0.2191,0.1476,0.9256,0.963
13:44:09:8670,0.2216,0.1461,0.9251,0.962
13:44:09:8690,0.2235,0.1471,0.9247,0.963
13:44:09:8720,0.2248,0.1471,0.9271,0.965
13:44:09:8740,0.2260,0.1463,0.9342,0.972
13:44:09:8770,0.2301,0.1471,0.9444,0.983
13:44:09:8790,0.2350,0.1478,0.9564,0.996
13:44:09:8810,0.2379,0.1500,0.9662,1.006
13:44:09:8840,0.2416,0.1527,0.9696,1.011
13:44:09:8860,0.2438,0.1539,0.9684,1.010
13:44:09:8890,0.2443,0.1554,0.9642,1.007
13:44:09:8910,0.2445,0.1571,0.9608,1.004
13:44:09:8940,0.2448,0.1581,0.9603,1.004
13:44:09:8960,0.2455,0.1576,0.9603,1.004
13:44:09:8980,0.2453,0.1571,0.9637,1.007
13:44:09:9010,0.2443,0.1568,0.9650,1.008
13:44:09:9030,0.2426,0.1551,0.9623,1.004
13:44:09:9060,0.2409,0.1527,0.9596,1.001
13:44:09:9080,0.2389,0.1502,0.9557,0.996
13:44:09:9110,0.2355,0.1476,0.9530,0.993
13:44:09:9130,0.2299,0.1458,0.9493,0.988
13:44:09:9150,0.2211,0.1458,0.9444,0.981
13:44:09:9180,0.2118,0.1471,0.9401,0.975
13:44:09:9200,0.2033,0.1466,0.9398,0.973
13:44:09:9230,0.1949,0.1458,0.9410,0.972
13:44:09:9250,0.1854,0.1454,0.9408,0.970
13:44:09:9280,0.1739,0.1446,0.9418,0.969
13:44:09:9300,0.1634,0.1424,0.9403,0.965
13:44:09:9330,0.1524,0.1400,0.9344,0.957
13:44:09:9350,0.1422,0.1366,0.9278,0.949
13:44:09:9370,0.1317,0.1331,0.9205,0.939
13:44:09:9400,0.1207,0.1297,0.9137,0.931
13:44:09:9420,0.1116,0.1248,0.9066,0.922
13:44:09:9460,0.1038,0.1192,0.8985,0.912
13:44:09:9470,0.0963,0.1146,0.8909,0.903
13:44:09:9500,0.0897,0.1094,0.8856,0.897
13:44:09:9520,0.0850,0.1043,0.8848,0.895
13:44:09:9540,0.0811,0.0989,0.8861,0.895
13:44:09:9570,0.0787,0.0928,0.8883,0.897
13:44:09:9600,0.0794,0.0899,0.8922,0.900
13:44:09:9620,0.0821,0.0879,0.8968,0.905
13:44:09:9640,0.0867,0.0855,0.9019,0.910
13:44:09:9660,0.0933,0.0835,0.9085,0.917
13:44:09:9690,0.1011,0.0828,0.9193,0.929
13:44:09:9710,0.1126,0.0848,0.9320,0.943
13:44:09:9740,0.1263,0.0875,0.9459,0.958
13:44:09:9760,0.1407,0.0906,0.9640,0.978
13:44:09:9780,0.1559,0.0945,0.9811,0.998
13:44:09:9810,0.1703,0.0975,0.9984,1.018
13:44:09:9830,0.1830,0.1011,1.0148,1.036
13:44:09:9860,0.1954,0.1085,1.0251,1.049
13:44:09:9880,0.2064,0.1158,1.0300,1.057
13:44:09:9910,0.2157,0.1236,1.0334,1.063
13:44:09:9930,0.2235,0.1295,1.0385,1.070
13:44:09:9960,0.2294,0.1344,1.0441,1.077
13:44:09:9980,0.2353,0.1410,1.0468,1.082
13:44:10:0010,0.2379,0.1449,1.0456,1.082
13:44:10:0030,0.2367,0.1463,1.0434,1.080
13:44:10:0050,0.2331,0.1461,1.0370,1.073
13:44:10:0070,0.2294,0.1446,1.0241,1.059
13:44:10:0110,0.2250,0.1395,1.0087,1.043
13:44:10:0130,0.2199,0.1329,0.9936,1.026
13:44:10:0150,0.2145,0.1263,0.9786,1.010
13:44:10:0170,0.2074,0.1178,0.9635,0.993
13:44:10:0200,0.1998,0.1094,0.9464,0.973
13:44:10:0230,0.1930,0.1011,0.9300,0.955
13:44:10:0250,0.1844,0.0926,0.9176,0.940
13:44:10:0290,0.1730,0.0848,0.9080,0.928
13:44:10:0320,0.1639,0.0784,0.8983,0.916
13:44:10:0330,0.1559,0.0750,0.8909,0.908
13:44:10:0350,0.1493,0.0740,0.9056,0.921
13:44:10:0370,0.1456,0.0726,0.9095,0.924
13:44:10:0400,0.1378,0.0691,0.8736,0.887
13:44:10:0420,0.1273,0.0647,0.8414,0.853
13:44:10:0470,0.1212,0.0633,0.8499,0.861
13:44:10:0480,0.1190,0.0628,0.8963,0.906
13:44:10:0490,0.1197,0.0633,0.9525,0.962
13:44:10:0520,0.1221,0.0650,0.9931,1.003
13:44:10:0540,0.1239,0.0657,1.0011,1.011
13:44:10:0560,0.1263,0.0657,0.9923,1.002
13:44:10:0590,0.1349,0.0660,0.9921,1.003
13:44:10:0620,0.1507,0.0721,1.0026,1.016
13:44:10:0640,0.1693,0.0828,1.0150,1.032
13:44:10:0660,0.1884,0.0953,1.0192,1.041
13:44:10:0680,0.2018,0.1077,1.0141,1.040
13:44:10:0709,0.2084,0.1168,1.0021,1.030
