time,gFx,gFy,gFz,TgF
13:37:54:1580,-0.0276,0.3129,0.8001,0.860
13:37:54:1580,-0.0257,0.3103,0.7949,0.854
13:37:54:1580,-0.0227,0.3059,0.7925,0.850
13:37:54:1580,-0.0210,0.3017,0.7903,0.846
13:37:54:1600,-0.0215,0.2961,0.7883,0.842
13:37:54:1630,-0.0242,0.2919,0.7888,0.841
13:37:54:1670,-0.0274,0.2900,0.7952,0.847
13:37:54:1680,-0.0315,0.2873,0.8076,0.858
13:37:54:1700,-0.0376,0.2863,0.8225,0.872
13:37:54:1729,-0.0452,0.2873,0.8404,0.889
13:37:54:1750,-0.0537,0.2883,0.8616,0.910
13:37:54:1770,-0.0621,0.2907,0.8826,0.931
13:37:54:1800,-0.0704,0.2934,0.9027,0.952
13:37:54:1860,-0.0789,0.2971,0.9220,0.972
13:37:54:1860,-0.0845,0.3007,0.9383,0.989
13:37:54:1870,-0.0889,0.3039,0.9515,1.003
13:37:54:1900,-0.0926,0.3073,0.9611,1.013
13:37:54:1920,-0.0941,0.3107,0.9689,1.022
13:37:54:1940,-0.0972,0.3142,0.9743,1.028
13:37:54:1970,-0.1006,0.3169,0.9750,1.030
13:37:54:2000,-0.1038,0.3205,0.9721,1.029
13:37:54:2020,-0.1092,0.3247,0.9684,1.027
13:37:54:2050,-0.1124,0.3281,0.9640,1.024
13:37:54:2070,-0.1141,0.3320,0.9603,1.022
13:37:54:2090,-0.1158,0.3374,0.9593,1.024
13:37:54:2120,-0.1158,0.3418,0.9574,1.023
13:37:54:2140,-0.1143,0.3452,0.9535,1.020
13:37:54:2170,-0.1129,0.3474,0.9493,1.017
13:37:54:2190,-0.1126,0.3486,0.9457,1.014
13:37:54:2210,-0.1102,0.3511,0.9432,1.012
13:37:54:2240,-0.1080,0.3528,0.9401,1.010
13:37:54:2260,-0.1060,0.3547,0.9374,1.008
13:37:54:2280,-0.1024,0.3562,0.9349,1.006
13:37:54:2310,-0.0992,0.3564,0.9327,1.003
13:37:54:2350,-0.0982,0.3572,0.9313,1.002
13:37:54:2360,-0.0970,0.3569,0.9322,1.003
13:37:54:2380,-0.0953,0.3569,0.9344,1.005
13:37:54:2410,-0.0943,0.3579,0.9361,1.007
13:37:54:2430,-0.0933,0.3581,0.9374,1.008
13:37:54:2450,-0.0914,0.3569,0.9379,1.008
13:37:54:2480,-0.0901,0.3550,0.9405,1.009
13:37:54:2510,-0.0897,0.3515,0.9449,1.012
13:37:54:2530,-0.0884,0.3491,0.9506,1.016
13:37:54:2550,-0.0848,0.3486,0.9559,1.021
13:37:54:2580,-0.0806,0.3481,0.9581,1.023
13:37:54:2600,-0.0784,0.3462,0.9581,1.022
13:37:54:2630,-0.0760,0.3437,0.9557,1.018
13:37:54:2650,-0.0735,0.3410,0.9501,1.012
13:37:54:2670,-0.0721,0.3374,0.9435,1.005
13:37:54:2700,-0.0696,0.3349,0.9408,1.001
13:37:54:2720,-0.0660,0.3327,0.9376,0.997
13:37:54:2750,-0.0638,0.3322,0.9332,0.993
13:37:54:2770,-0.0621,0.3325,0.9288,0.988
13:37:54:2790,-0.0621,0.3303,0.9232,0.982
13:37:54:2819,-0.0621,0.3296,0.9190,0.978
13:37:54:2859,-0.0616,0.3308,0.9134,0.973
13:37:54:2870,-0.0635,0.3303,0.9080,0.968
13:37:54:2900,-0.0645,0.3283,0.9044,0.964
13:37:54:2950,-0.0650,0.3274,0.9039,0.964
13:37:54:2950,-0.0669,0.3259,0.9061,0.965
13:37:54:2960,-0.0689,0.3254,0.9083,0.967
13:37:54:3040,-0.0701,0.3261,0.9105,0.970
13:37:54:3050,-0.0701,0.3274,0.9115,0.971
13:37:54:3050,-0.0713,0.3283,0.9134,0.973
13:37:54:3060,-0.0733,0.3296,0.9151,0.975
13:37:54:3090,-0.0748,0.3310,0.9159,0.977
13:37:54:3110,-0.0765,0.3293,0.9171,0.977
13:37:54:3140,-0.0779,0.3276,0.9186,0.978
13:37:54:3160,-0.0787,0.3283,0.9210,0.981
13:37:54:3180,-0.0804,0.3288,0.9264,0.986
13:37:54:3210,-0.0823,0.3300,0.9317,0.992
13:37:54:3230,-0.0831,0.3313,0.9369,0.997
13:37:54:3270,-0.0835,0.3318,0.9418,1.002
13:37:54:3280,-0.0835,0.3330,0.9427,1.003
13:37:54:3310,-0.0833,0.3335,0.9418,1.003
13:37:54:3380,-0.0831,0.3337,0.9403,1.001
13:37:54:3380,-0.0831,0.3352,0.9364,0.998
13:37:54:3390,-0.0840,0.3362,0.9327,0.995
13:37:54:3510,-0.0843,0.3369,0.9310,0.994
13:37:54:3520,-0.0843,0.3371,0.9288,0.992
13:37:54:3520,-0.0843,0.3371,0.9264,0.989
13:37:54:3600,-0.0850,0.3366,0.9256,0.989
13:37:54:3610,-0.0865,0.3366,0.9269,0.990
13:37:54:3610,-0.0862,0.3369,0.9293,0.992
13:37:54:3610,-0.0853,0.3376,0.9342,0.997
13:37:54:3620,-0.0838,0.3391,0.9383,1.001
13:37:54:3620,-0.0828,0.3388,0.9403,1.003
13:37:54:3640,-0.0823,0.3364,0.9422,1.004
13:37:54:3650,-0.0823,0.3344,0.9437,1.005
13:37:54:3670,-0.0821,0.3347,0.9459,1.007
13:37:54:3700,-0.0821,0.3340,0.9496,1.010
13:37:54:3720,-0.0818,0.3335,0.9523,1.012
13:37:54:3740,-0.0801,0.3332,0.9535,1.013
13:37:54:3760,-0.0796,0.3327,0.9537,1.013
13:37:54:3790,-0.0814,0.3322,0.9547,1.014
13:37:54:3810,-0.0840,0.3315,0.9557,1.015
13:37:54:3840,-0.0853,0.3313,0.9562,1.016
